市场,代码,名称,板块,细分行业,货币,最新价,今日最高,今日最低,今开,成交量,成交额,昨收,总股本,市盈率(动),市盈率(静),市盈率TTM,市净率,换手率%,涨跌幅%,涨跌额,总市值,流通市值,52周最高(前复权),52周最低(前复权)
美股,DG,达乐,可选消费,折扣零售,USD,122.89,125.88,121.34,125.25,3310507.0,406775680.0,125.89,220616790.0,15.92,17.93,15.92,2.92,1.5,-2.38,-3.0,27111597323.0,27111597323.0,156.24,95.94
美股,DLTR,美元树,可选消费,折扣零售,USD,128.26,129.55,123.8,127.45,2502283.0,320264336.0,127.0,187630299.0,14.92,18.76,14.92,7.03,1.33,0.99,1.26,24065462150.0,24065462150.0,141.21,85.04
美股,ROST,罗斯百货,可选消费,服装零售,USD,228.55,232.67,228.15,231.81,2431608.0,556388960.0,229.87,320781076.0,27.57,34.18,27.57,10.87,0.76,-0.57,-1.32,73314514920.0,73314514920.0,255.23,144.67
美股,TJX,TJX,可选消费,服装零售,USD,135.12,135.561,133.55,134.75,6801149.0,916392832.0,134.22,1099974061.0,24.5,27.05,24.5,13.95,0.62,0.67,0.9,148628495122.0,148628495122.0,168.41,134.22
美股,BURL,伯灵顿,可选消费,服装零售,USD,272.95,292.5,272.715,291.3,2893457.0,798332912.0,290.0,62815195.0,24.01,28.1,24.01,8.56,4.61,-5.88,-17.05,17145407475.0,17145407475.0,372.19,242.43
美股,ULTA,Ulta美妆,可选消费,美妆零售,USD,517.5,542.54,503.05,542.0,1608767.0,831637168.0,540.1,42757471.0,18.29,19.18,18.29,8.37,3.76,-4.18,-22.6,22126991243.0,22126991243.0,706.82,450.75
美股,FIVE,Five Below,可选消费,杂货零售,USD,241.89,249.15,241.02,248.26,1022800.0,248416748.0,246.98,55295351.0,30.5,37.39,30.5,3.29,0.0,-2.06,-5.09,13249790999.999998,13375392000.0,,
美股,HD,家得宝,可选消费,家居零售,USD,330.19,331.61,327.5,330.5,3136575.0,1033868416.0,328.61,997689626.0,23.16,23.27,23.16,19.82,0.31,0.48,1.58,329427137609.0,329427137609.0,423.42,297.51
美股,LOW,劳氏,可选消费,家居零售,USD,208.05,208.702,205.7,207.99,2791791.0,579478384.0,206.74,561054019.0,17.57,17.54,17.57,-15.7,0.5,0.63,1.31,116727288653.0,116727288653.0,287.39,201.92
美股,NKE,耐克,可选消费,运动服饰,USD,39.6,39.76,38.56,38.71,28437375.0,1115872704.0,38.44,1483498703.0,18.9,18.9,18.9,3.95,2.37,3.02,1.16,58746548639.0,47603593660.0,77.92,38.44
美股,LULU,露露乐蒙,可选消费,运动服饰,USD,120.81,121.2,116.35,116.64,3921777.0,467642272.0,115.0,108437957.0,8.97,8.3,8.97,2.71,3.62,5.05,5.81,13100389585.0,13100389585.0,215.88,105.43
美股,DECK,德克斯户外,可选消费,运动服饰,USD,87.76,88.67,86.52,87.17,2594579.0,227404862.0,86.33,136181857.0,11.78,11.67,11.78,5.19,1.91,1.66,1.43,11951319770.0,11951319770.0,123.91,79.54
美股,ONON,昂跑,可选消费,运动服饰,USD,28.85,29.5,28.85,29.21,4991095.0,144778230.0,28.95,334214703.0,19.51,47.33,19.51,4.08,1.65,-0.35,-0.1,9642094182.0,8704493185.0,50.63,28.83
美股,CROX,卡骆驰,可选消费,服装鞋帽,USD,122.23,124.28,121.88,122.98,845215.0,103919679.0,121.69,47945075.0,9.88,-72.17,9.88,4.23,1.76,0.44,0.54,5860326517.0,5860326517.0,141.19,73.39
美股,AMZN,亚马逊,可选消费,电商零售,USD,266.43,267.56,257.78,258.32,49547427.0,13113317888.0,256.26,10786313572.0,21.24,37.0,21.24,5.21,0.46,3.97,10.17,2873797524988.0,2873797524988.0,284.02,198.79
美股,BABA,阿里巴巴,中概消费,电商零售,USD,118.9,119.76,116.85,117.06,9678259.0,1147407344.0,116.31,2485623615.0,27.24,2.85,27.24,1.91,0.39,2.23,2.59,295540647794.0,295540647794.0,189.34,94.81
美股,JD,京东,中概消费,电商零售,USD,28.74,28.75,28.46,28.49,4788480.0,137107977.0,28.49,1344000000.0,17.52,1.97,17.52,1.2,0.4,0.88,0.25,38626560000.0,34002781402.0,36.17,25.19
美股,PDD,拼多多,中概消费,电商零售,USD,85.69,86.45,84.69,85.21,6273990.0,536721280.0,84.69,1423396462.0,9.1,1.25,9.1,1.86,0.44,1.18,1.0,121970842829.0,121970842829.0,138.13,73.3
